season,product_name,sku,variant,price_inr,compare_at_price_inr,stock_quantity,stock_status,can_advertise,cogs_per_item_inr,gross_margin_pct,gross_margin_per_unit_inr,total_variable_cost_inr,shipping_cost_inr,packaging_cost_inr,payment_gateway_fee_inr,rto_inr,data_source_date
All Seasons,AeroPod Carrier,TH-072-AEROPOD-GRAY,Gray,2999,,5,CRITICAL_LOW,PAUSE_OR_RESTOCK,500,80.33,2499,1184.98,300,10,74.98,300,2026-06-19
All Seasons,AeroPod Carrier,TH-072-AEROPOD-PINK,Pink,2999,,,CHECK_ADMIN,CHECK,,,,,,,,,
All Seasons,AeroPod Carrier,TH-072-AEROPOD-BEIGE,Beige,2999,,,CHECK_ADMIN,CHECK,,,,,,,,,
All Seasons,PocketPup Tote,TH-054-TOTE-Y,Yellow,1499,,9,LOW,MONITOR,450,64.58,1049,756.48,117,10,62.48,117,2026-06-19
All Seasons,PocketPup Tote,TH-054-TOTE-G,Green,1499,,5,CRITICAL_LOW,PAUSE_OR_RESTOCK,450,64.58,1049,756.48,117,10,62.48,117,2026-06-19
All Seasons,PocketPup Tote,TH-054-TOTE-O,Orange,1499,,66,OK,YES,450,64.58,1049,756.48,117,10,62.48,117,2026-06-19
All Seasons,Halo Pet Carrier,TH-HALOC,Default,,,,CHECK_ADMIN,CHECK,,,,,,,,,
All Seasons,Mr. Pet Carrier Bag,TH-MRPET,Default,,,,CHECK_ADMIN,CHECK,,,,,,,,,
All Seasons,PupNestle Crate,TH-074-PUPNESTLE,Default,2499,,1996,OK,YES,,,,,,,,,
All Seasons,Catstronaut Backpack,TH-065-CATBAG,Default,2499,,6,CRITICAL_LOW,PAUSE_OR_RESTOCK,,,,,,,,,
All Seasons,CasaFrolic Playpen,TH-052-PLAYPEN,Default,2999,,952,OK,YES,,,,,,,,,
All Seasons,Luxe Litter Station,TH-064-LITTER,Default,3499,,0,OOS,NO,,,,,,,,,
All Seasons,Aurora Litter Den,TH-087-LITTERDEN,Default,3699,,993,OK,YES,,,,,,,,,
All Seasons,OdourShield Litter Box,TH-079-ODOURSHIELD,Default,2999,,998,OK,YES,,,,,,,,,
All Seasons,PupTidy Poop Bags,TH-046-PTBAG,Default,599,,995,OK,YES,,,,,,,,,
All Seasons,PoopScoop Buddy,TH-066-SCOOP,Default,1499,,941,OK,YES,,,,,,,,,
All Seasons,Wovyn Cat Hammock,TH-097-WCATHAM,Default,5999,,0,OOS,NO,,,,,,,,,
All Seasons,Elora Cove Hammock,TH-ELORACOVE,Default,,,,CHECK_ADMIN,CHECK,,,,,,,,,
All Seasons,BlueWave Pool,TH-367-BLUEPOOL,Default,2999,,24,LOW,MONITOR,847,66.67,2152,1728.98,386,10,99.98,386,2026-06-19
